nama,kategori,harga,deskripsi,benefit,ketentuan
Shared Mobile 1 Hari CapCut Pro,CapCut,4500,"Tinggal login, bisa langsung melanjutkan proyek editan yang sudah kamu kerjakan sebelumnya. Video dan hasil edit tidak akan tercampur serta tidak dapat dilihat oleh pengguna lain.",Tinggal login langsung pakai,Tidak untuk laptop;Tidak boleh berpindah perangkat;Akun penjual
Shared Duo 1 Hari CapCut Pro,CapCut,5000,"Untuk 2 perangkat. Bisa langsung melanjutkan proyek editan yang sudah kamu kerjakan sebelumnya. Video dan hasil edit tidak akan tercampur serta tidak dapat dilihat oleh pengguna lain.",Support semua perangkat;Tinggal login,Tidak boleh berpindah perangkat;Akun penjual
Invite 1 Hari CapCut Pro,CapCut,6000,"Best Seller, sehari Pro dengan akun sendiri (Private). Tinggal gabung otomatis akun kamu jadi Pro. Support 3 perangkat.",Support semua perangkat;Bisa request pembuatan akun;Perpanjang dengan akun sebelumnya,Tidak boleh berpindah perangkat;Gabung Tim cuma buat aktivasi Pro
Invite 3 Hari CapCut Pro,CapCut,9000,"Best Seller, 3 hari Pro dengan akun sendiri (Private). Tinggal gabung otomatis akun kamu jadi Pro. Support 3 perangkat.",Support semua perangkat;Bisa request pembuatan akun;Perpanjang dengan akun sebelumnya,Tidak boleh berpindah perangkat;Gabung Tim cuma buat aktivasi Pro
Shared Mobile 6-7 Hari CapCut Pro,CapCut,7500,"Tinggal login, bisa langsung melanjutkan proyek editan yang sudah kamu kerjakan sebelumnya. Video dan hasil edit tidak akan tercampur serta tidak dapat dilihat oleh pengguna lain.",Tinggal login langsung pakai,Tidak untuk laptop;Tidak boleh berpindah perangkat;Akun penjual
Shared Duo 6-7 Hari CapCut Pro,CapCut,10000,"Untuk 2 perangkat. Bisa langsung melanjutkan proyek editan yang sudah kamu kerjakan sebelumnya. Video dan hasil edit tidak akan tercampur serta tidak dapat dilihat oleh pengguna lain.",Support semua perangkat;Tinggal login,Tidak boleh berpindah perangkat;Akun penjual
Private 6-7 Hari CapCut Pro,CapCut,12000,"Best seller, support 3 perangkat. Bisa langsung melanjutkan proyek editan yang sudah kamu kerjakan sebelumnya. Video dan hasil edit tidak akan tercampur serta tidak dapat dilihat oleh pengguna lain.",Support semua perangkat,Tidak boleh berpindah perangkat;Menggunakan akun penjual;Langganan dengan akun baru
Shared Mobile 28-30 Hari CapCut Pro,CapCut,20000,"Tinggal login, bisa langsung melanjutkan proyek editan yang sudah kamu kerjakan sebelumnya. Video dan hasil edit tidak akan tercampur serta tidak dapat dilihat oleh pengguna lain.",Tinggal login langsung pakai,Tidak untuk laptop;Tidak boleh berpindah perangkat;Akun penjual
Shared Duo 28 Hari CapCut Pro,CapCut,27000,"Untuk 2 perangkat. Bisa langsung melanjutkan proyek editan yang sudah kamu kerjakan sebelumnya. Video dan hasil edit tidak akan tercampur serta tidak dapat dilihat oleh pengguna lain.",Support semua perangkat;Tinggal login,Tidak boleh berpindah perangkat;Akun penjual
Invite 1 Bulan CapCut Pro,CapCut,41000,"Best Seller, sebulan Pro dengan akun sendiri (Private). Tinggal gabung otomatis akun kamu jadi Pro. Support 3 perangkat.",Support semua perangkat;Bisa request pembuatan akun;Perpanjang dengan akun sebelumnya,Tidak boleh berpindah perangkat;Gabung Tim cuma buat aktivasi Pro
Canva Tim Pro 1 Bulan,Canva,20000,"Akun seller atau pakai akunmu siap pakai. Paket ini memungkinkan pengguna untuk mengundang hingga 100 anggota untuk bergabung ke Canva PRO. Tanpa tercampur pembeli lain. Durasi 25-29 Hari.",,
Invite Pro + Designer Canva,Canva,10000,"Kirim email canva kamu untuk join Tim Pro ditambah designer untuk menambah atau mengupload font dan kit on ""Brand kit"". Paket Canva Bisnis durasi 25-29 Hari.",,
Invite Pro 1 Bulan Canva,Canva,7000,"Simpel, kirim email canva kamu untuk join Tim Pro. Paket Canva Bisnis durasi 25-29 Hari.",,
Netflix Promo 3 Hari,Netflix,7000,"1 Profil untuk 1 perangkat. Aman, anti limit screen dan logout.",,Tidak boleh berpindah perangkat
Netflix Promo 7 Hari,Netflix,9000,"1 Profil untuk 1 perangkat. Aman, anti limit screen dan logout.",,Tidak boleh berpindah perangkat
Netflix Promo 28 Hari,Netflix,22000,"1 Profil untuk 1 perangkat. Aman, anti limit screen dan logout.",,Tidak boleh berpindah perangkat
